"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000171914",40.909659454632,-8.02416643129626,2.15339152067028,15.257748921369,0.0183440061918784,0.0740207278884243,"TLN2"
"ENSG00000255418",25.1348825192711,-3.57924544408524,2.94176340408471,15.2580337563592,0.0183419912924,0.0740207278884243,NA
"ENSG00000118520",48.1583252304792,-8.55953955475854,2.75103856515101,15.2539181655413,0.0183711252275724,0.0741139785752239,"ARG1"
"ENSG00000103994",2075.16751633265,-0.588927830321246,0.497214270447712,15.251409292459,0.0183889070500062,0.0741695279989886,"ZNF106"
"ENSG00000164933",1234.12976535571,1.4964231555178,0.535469473620745,15.2444740285751,0.0184381469429765,0.0743519079932199,"SLC25A32"
"ENSG00000100181",299.236195953985,-0.806101666062145,1.26539333965969,15.2417723796593,0.0184573625769554,0.0744131618833195,"TPTEP1"
"ENSG00000175886",90.2136632956092,0.591299279053103,0.320523932003052,15.2406012389564,0.0184656983331447,0.0744305350388528,NA
"ENSG00000136999",222.380683642635,1.06968033961082,2.08838226870779,15.2364663713925,0.018495157635274,0.0745330257004664,"NOV"
"ENSG00000198919",708.451542065856,1.31769616562141,0.782545748113713,15.2347433519026,0.0185074467346311,0.0745662931320085,"DZIP3"
"ENSG00000273891",8.22317145275055,-6.32235675420099,2.62379822384271,15.2338555333035,0.0185137819756485,0.0745755632642978,NA
"ENSG00000234390",15.1347525028515,-5.82274475143872,3.56241072252117,15.2326121723111,0.0185226577606889,0.0745950607203341,"USP27X-AS1"
"ENSG00000165678",6175.53612320497,-0.129996703188434,0.403869926728452,15.2319403599992,0.0185274552147868,0.0745981288706892,"GHITM"
"ENSG00000140682",47.2040763035615,-1.09113900859253,1.96568650586317,15.228957089357,0.0185487732988722,0.0746676991353773,"TGFB1I1"
"ENSG00000272316",193.546428032549,1.52852623383374,0.883697728435391,15.2276894909223,0.018557838501264,0.0746879261258144,NA
"ENSG00000035664",36.2528837559229,0.135474065505279,2.62987694378271,15.2246064620028,0.0185799044043671,0.0747470949596712,"DAPK2"
"ENSG00000105671",249.511603460587,-4.11422685066652,1.39412799629536,15.2245054758509,0.0185806276083143,0.0747470949596712,"DDX49"
"ENSG00000162961",2105.35911947841,0.40613422461135,0.226074349258295,15.2194515334263,0.018616855406584,0.0748765387708235,"DPY30"
"ENSG00000140534",151.662660625144,-4.61603513647128,1.7211766084821,15.2156412723211,0.0186442128709559,0.0749702577593255,"TICRR"
"ENSG00000165792",1683.69524983302,-0.997020291918242,0.45845476903979,15.211394083994,0.0186747527614547,0.0750767300555655,"METTL17"
"ENSG00000134330",902.612418429737,1.4772966142662,0.49557600318322,15.2086979133732,0.0186941647013379,0.0751384288985066,"IAH1"
"ENSG00000119414",2308.88563708038,0.714009347413416,0.299709214690023,15.2044151482017,0.0187250395109556,0.0751397869956504,"PPP6C"
"ENSG00000138071",3569.61075796973,-1.04083559382203,0.382876492276799,15.20414040255,0.018727021838732,0.0751397869956504,"ACTR2"
"ENSG00000153201",3987.99007654244,0.067170959958975,0.440587068784859,15.2061925987287,0.0187122198077773,0.0751397869956504,"RANBP2"
"ENSG00000163746",22.485105652787,9.33488227824836,3.28246425577563,15.207191587095,0.0187050183781169,0.0751397869956504,"PLSCR2"
"ENSG00000247728",17.3542355119406,1.60279982372013,1.70239294906253,15.2067877563689,0.0187079291624527,0.0751397869956504,NA
"ENSG00000251648",11.932272569787,-0.456625025729263,3.60191475640671,15.2070602631839,0.0187059649043888,0.0751397869956504,NA
"ENSG00000266369",41.174275856262,5.33604808669608,2.6295001075863,15.2047565613746,0.0187225764474266,0.0751397869956504,NA
"ENSG00000272168",584.856144745138,1.89580371651856,1.07866161762637,15.2047666390298,0.0187225037487153,0.0751397869956504,"CASC15"
"ENSG00000168283",1486.44374580804,0.98072672924947,0.491591640952389,15.2025572539106,0.018738448385043,0.0751693182286285,"BMI1"
"ENSG00000145416",97.1522973074885,-6.33124639045302,1.76041714307196,15.1986070201616,0.0187669887036697,0.0752441647997332,"MARCH1"
"ENSG00000149131",2512.64019141623,1.26482777195586,0.54822163366233,15.1991583713905,0.0187630027132707,0.0752441647997332,"SERPING1"
"ENSG00000269964",89.2569972813793,0.700044721908826,1.66696068045558,15.1982848734998,0.0187693180357896,0.0752441647997332,"MEI4"
